"id";"nome";"estado_id"
216;"MAGALHAES BARATA";15
217;"MARABA";15
218;"MARACANA";15
219;"MARAPANIM";15
220;"MARITUBA";15
221;"MEDICILANDIA";15
222;"MELGACO";15
223;"MOCAJUBA";15
224;"MOJU";15
225;"MONTE ALEGRE";15
226;"MUANA";15
227;"NOVA ESPERANCA DO PIRIA";15
228;"NOVA IPIXUNA";15
229;"NOVA TIMBOTEUA";15
230;"NOVO PROGRESSO";15
231;"NOVO REPARTIMENTO";15
232;"OBIDOS";15
233;"OEIRAS DO PARA";15
234;"ORIXIMINA";15
235;"OUREM";15
236;"OURILANDIA DO NORTE";15
237;"PACAJA";15
238;"PALESTINA DO PARA";15
239;"PARAGOMINAS";15
240;"PARAUAPEBAS";15
241;"PAU D'ARCO";15
242;"PEIXE-BOI";15
243;"PICARRA";15
244;"PLACAS";15
245;"PONTA DE PEDRAS";15
246;"PORTEL";15
247;"PORTO DE MOZ";15
248;"PRAINHA";15
249;"PRIMAVERA";15
250;"QUATIPURU";15
251;"REDENCAO";15
252;"RIO MARIA";15
253;"RONDON DO PARA";15
254;"RUROPOLIS";15
255;"SALINOPOLIS";15
256;"SALVATERRA";15
257;"SANTA BARBARA DO PARA";15
258;"SANTA CRUZ DO ARARI";15
259;"SANTA ISABEL DO PARA";15
260;"SANTA LUZIA DO PARA";15
261;"SANTA MARIA DAS BARREIRAS";15
262;"SANTA MARIA DO PARA";15
263;"SANTANA DO ARAGUAIA";15
264;"SANTAREM";15
265;"SANTAREM NOVO";15
266;"SANTO ANTONIO DO TAUA";15
267;"SAO CAETANO DE ODIVELAS";15
268;"SAO DOMINGOS DO ARAGUAIA";15
269;"SAO DOMINGOS DO CAPIM";15
270;"SAO FELIX DO XINGU";15
271;"SAO FRANCISCO DO PARA";15
272;"SAO GERALDO DO ARAGUAIA";15
273;"SAO JOAO DA PONTA";15
274;"SAO JOAO DE PIRABAS";15
275;"SAO JOAO DO ARAGUAIA";15
276;"SAO MIGUEL DO GUAMA";15
277;"SAO SEBASTIAO DA BOA VIST";15
278;"SAPUCAIA";15
279;"SENADOR JOSE PORFIRIO";15
280;"SOURE";15
281;"TAILANDIA";15
282;"TERRA ALTA";15
283;"TERRA SANTA";15
284;"TOME-ACU";15
285;"TRACUATEUA";15
286;"TRAIRAO";15
287;"TUCUMA";15
288;"TUCURUI";15
289;"ULIANOPOLIS";15
290;"URUARA";15
291;"VIGIA";15
292;"VISEU";15
293;"VITORIA DO XINGU";15
294;"XINGUARA";15
295;"SERRA DO NAVIO";13
296;"AMAPA";13
297;"PEDRA BRANCA DO AMAPARI";13
298;"CALCOENE";13
299;"CUTIAS";13
300;"FERREIRA GOMES";13
301;"ITAUBAL";13
302;"LARANJAL DO JARI";13
303;"MACAPA";13
304;"MAZAGAO";13
305;"OIAPOQUE";13
306;"PORTO GRANDE";13
307;"PRACUUBA";13
308;"SANTANA";13
309;"TARTARUGALZINHO";13
310;"VITORIA DO JARI";13
311;"ABREULANDIA";14
312;"AGUIARNOPOLIS";14
313;"ALIANCA DO TOCANTINS";14
314;"ALMAS";14
315;"ALVORADA";14
316;"ANANAS";14
317;"ANGICO";14
318;"APARECIDA DO RIO NEGRO";14
319;"ARAGOMINAS";14
320;"ARAGUACEMA";14
321;"ARAGUACU";14
322;"ARAGUAINA";14
323;"ARAGUANA";14
324;"ARAGUATINS";14
325;"ARAPOEMA";14
326;"ARRAIAS";14
327;"AUGUSTINOPOLIS";14
328;"AURORA DO TOCANTINS";14
329;"AXIXA DO TOCANTINS";14
330;"BABACULANDIA";14
331;"BANDEIRANTES DO TOCANTINS";14
332;"BARRA DO OURO";14
333;"BARROLANDIA";14
334;"BERNARDO SAYAO";14
335;"BOM JESUS DO TOCANTINS";14
336;"BRASILANDIA DO TOCANTINS";14
337;"BREJINHO DE NAZARE";14
338;"BURITI DO TOCANTINS";14
339;"CACHOEIRINHA";14
340;"CAMPOS LINDOS";14
341;"CARIRI DO TOCANTINS";14
342;"CARMOLANDIA";14
343;"CARRASCO BONITO";14
344;"CASEARA";14
345;"CENTENARIO";14
346;"CHAPADA DE AREIA";14
347;"CHAPADA DA NATIVIDADE";14
348;"COLINAS DO TOCANTINS";14
349;"COMBINADO";14
350;"CONCEICAO DO TOCANTINS";14
351;"COUTO DE MAGALHAES";14
352;"CRISTALANDIA";14
353;"CRIXAS DO TOCANTINS";14
354;"DARCINOPOLIS";14
355;"DIANOPOLIS";14
356;"DIVINOPOLIS DO TOCANTINS";14
357;"DOIS IRMAOS DO TOCANTINS";14
358;"DUERE";14
359;"ESPERANTINA";14
360;"FATIMA";14
361;"FIGUEIROPOLIS";14
362;"FILADELFIA";14
363;"FORMOSO DO ARAGUAIA";14
364;"FORTALEZA DO TABOCAO";14
365;"GOIANORTE";14
366;"GOIATINS";14
367;"GUARAI";14
368;"GURUPI";14
369;"IPUEIRAS";14
370;"ITACAJA";14
371;"ITAGUATINS";14
372;"ITAPIRATINS";14
373;"ITAPORA DO TOCANTINS";14
374;"JAU DO TOCANTINS";14
375;"JUARINA";14
376;"LAGOA DA CONFUSAO";14
377;"LAGOA DO TOCANTINS";14
378;"LAJEADO";14
379;"LAVANDEIRA";14
380;"LIZARDA";14
381;"LUZINOPOLIS";14
382;"MARIANOPOLIS DO TOCANTINS";14
383;"MATEIROS";14
